ProcessID       ProcessName                    ProcessPath                                       
9176            CCXProcess.exe                 C:\Program Files (x86)\Adobe\Adobe Creative Cloud\CCXProcess\CCXProcess.exe

9192            node.exe                       C:\Program Files (x86)\Adobe\Adobe Creative Cloud\CCXProcess\libs\node.exe

8432            SearchIndexer.exe              C:\Windows\system32\SearchIndexer.exe             

5712            wmpnetwk.exe                   C:\Program Files\Windows Media Player\wmpnetwk.exe

10028           svchost.exe                    C:\Windows\System32\svchost.exe                   

11204           AGSService.exe                 C:\Program Files (x86)\Common Files\Adobe\AdobeGCClient\AGSService.exe

5624            ctfmon.exe                     C:\Windows\SysWOW64\ctfmon.exe                    

3464            HPSupportSolutionsFrameworkService.exe C:\Program Files (x86)\Hewlett-Packard\HP Support Solutions\HPSupportSolutionsFrameworkService.exe

9104            VsHub.exe                      C:\Program Files (x86)\Common Files\Microsoft Shared\VsHub\1.0.0.0\vshub.exe

7644            Microsoft.VsHub.Server.HttpHost.exe C:\Program Files (x86)\Common Files\Microsoft Shared\VsHub\1.0.0.0\Microsoft.VsHub.Server.HttpHost.exe

11492           BtTray.exe                     C:\Program Files (x86)\IVT Corporation\BlueSoleil\BtTray.exe

12276           Microsoft.VsHub.Server.HttpHostx64.exe C:\Program Files (x86)\Common Files\Microsoft Shared\VsHub\1.0.0.0\Microsoft.VsHub.Server.HttpHostx64.exe

15436           StandardCollector.Service.exe  D:\VS\Team Tools\DiagnosticsHub\Collector\StandardCollector.Service.exe

5932            Steam.exe                      C:\Program Files (x86)\Steam\Steam.exe            

15456           steamwebhelper.exe             C:\Program Files (x86)\Steam\bin\steamwebhelper.exe

6812            SteamService.exe               C:\Program Files (x86)\Common Files\Steam\SteamService.exe

14120           steamwebhelper.exe             C:\Program Files (x86)\Steam\bin\steamwebhelper.exe

16356           steamwebhelper.exe             C:\Program Files (x86)\Steam\bin\steamwebhelper.exe

12260           NateOnMain.exe                 C:\Program Files (x86)\SK Communications\NATEON\BIN\NATEONMain.exe

15548           GitHub.exe                     C:\Users\KONA\AppData\Local\Apps\2.0\0A45VY5L.L6Q\4RV8JCXW.OZZ\gith..tion_317444273a93ac29_0003.0000_20a3dfa4ba8ba894\GitHub.exe

7600            CefSharp.BrowserSubprocess.exe C:\Users\KONA\AppData\Local\Apps\2.0\0A45VY5L.L6Q\4RV8JCXW.OZZ\gith..tion_317444273a93ac29_0003.0000_20a3dfa4ba8ba894\CefSharp.BrowserSubprocess.exe

3452            ssh-agent.exe                  C:\Users\KONA\AppData\Local\GitHub\PortableGit_c7e0cbde92ba565cb218a521411d0e854079a28c\usr\bin\ssh-agent.exe

7264            devenv.exe                     D:\VS\Common7\IDE\devenv.exe                      

15576           devenv.exe                     D:\VS\Common7\IDE\devenv.exe                      

14908           KAC_Server.vshost.exe          C:\Users\KONA\Documents\Visual Studio 2015\Projects\12Dc0JWotxaLTCxZPKO82A\KAC SERVER\bin\Debug\KAC_Server.vshost.exe

9636            msvsmon.exe                    D:\VS\Common7\IDE\Remote Debugger\x64\msvsmon.exe 

5812            MSBuild.exe                    C:\Program Files (x86)\MSBuild\14.0\bin\MSBuild.exe

3416            MSBuildTaskHost.exe            C:\Program Files (x86)\MSBuild\14.0\bin\MSBuildTaskHost.exe

6080            nvcplui.exe                    C:\Program Files\NVIDIA Corporation\Control Panel Client\nvcplui.exe

11044           VBCSCompiler.exe               C:\Program Files (x86)\MSBuild\14.0\bin\VBCSCompiler.exe

12928           notepad.exe                    C:\Windows\system32\notepad.exe                   

11504           TweetDeck.exe                  C:\Program Files (x86)\Twitter\TweetDeck\TweetDeck.exe

1856            TweetDeck.exe                  C:\Program Files (x86)\Twitter\TweetDeck\TweetDeck.exe

3040            filezilla.exe                  C:\Program Files\FileZilla FTP Client\filezilla.exe

7596            TweetDeck.exe                  C:\Program Files (x86)\Twitter\TweetDeck\TweetDeck.exe

5884            SearchProtocolHost.exe         C:\Windows\system32\SearchProtocolHost.exe        

9400            MSBuild.exe                    C:\Program Files (x86)\MSBuild\14.0\bin\MSBuild.exe

13836           MSBuildTaskHost.exe            C:\Program Files (x86)\MSBuild\14.0\bin\MSBuildTaskHost.exe

15032           firefox.exe                    C:\Program Files (x86)\Mozilla Firefox\firefox.exe

9308            SearchFilterHost.exe           C:\Windows\system32\SearchFilterHost.exe          

3036            CSGOAC Client.vshost.exe       C:\Users\KONA\Documents\GitHub\CSGOAC\CSGOAC Client\bin\x86\Debug\CSGOAC Client.vshost.exe

9756            CSGOAC Server.vshost.exe       C:\Users\KONA\Documents\GitHub\CSGOAC\CSGOAC Server\bin\Debug\CSGOAC Server.vshost.exe

15828           msvsmon.exe                    D:\VS\Common7\IDE\Remote Debugger\x64\msvsmon.exe 

8988            ScriptedSandbox64.exe          D:\VS\Common7\IDE\PrivateAssemblies\ScriptedSandbox64.exe
